Function,Type,Operation,ASCII,Support
Power,Write,Power On,<CR>*pow=on#<CR>,Yes
,Write,Power off,<CR>*pow=off#<CR>,Yes
,Read,Power Status,<CR>*pow=?#<CR>,Yes
Source,Write,COMPUTER/YPbPr,<CR>*sour=RGB#<CR>,Yes
,Write,COMPUTER 2/YPbPr2,<CR>*sour=RGB2#<CR>,No
,Write,Component,<CR>*sour=ypbr#<CR>,Yes
,Write,DVI-A,<CR>*sour=dviA#<CR>,No
,Write,DVI-D,<CR>*sour=dvid#<CR>,No
,Write,HDMI,<CR>*sour=hdmi#<CR>,Yes
,Write,HDMI 2,<CR>*sour=hdmi2#<CR>,Yes
,Write,Composite,<CR>*sour=vid#<CR>,Yes
,Write,S-Video,<CR>*sour=svid#<CR>,Yes
,Write,Network,<CR>*sour=network#<CR>,No
,Write,USB Display,<CR>*sour=usbdisplay#<CR>,No
,Write,USB Reader,<CR>*sour=usbreader#<CR>,No
,Read,Current source,<CR>*sour=?#<CR>,Yes
Audio control,Write,Mute On,<CR>*mute=on#<CR>,Yes
,Write,Mute Off,<CR>*mute=off#<CR>,Yes
,Read,Mute Status,<CR>*mute=?#<CR>,Yes
,Write,Volume +,<CR>*vol=+#<CR>,Yes
,Write,Volume -,<CR>*vol=-#<CR>,Yes
,Read,Volume Status,<CR>*vol=?#<CR>,Yes
,Write,Mic. Volume +,<CR>*micvol=+#<CR>,No
,Write,Mic. Volume -,<CR>*micvol=-#<CR>,No
,Read,Mic. Volume Status,<CR>*micvol=?#<CR>,No
Audio source,Write,Audio pass Through off,<CR>*audiosour=off#<CR>,No
,Write,Audio-Computer1,<CR>*audiosour=RGB#<CR>,No
,Write,Audio-Computer2,<CR>*audiosour=RGB2#<CR>,No
,Write,Audio-Video/S-Video,<CR>*audiosour=vid#<CR>,No
,Write,Audio-Component,<CR>*audiosour=ypbr#<CR>,No
,Write,Audio-HDMI,<CR>*audiosour=hdmi#<CR>,No
,Write,Audio-HDMI2,<CR>*audiosour=hdmi2#<CR>,No
,Read,Audio pass Status,<CR>*audiosour=?#<CR>,No
Picture mode,Write,Dynamic,<CR>*appmod=dynamic#<CR>,Yes
,Write,Presentation,<CR>*appmod=preset#<CR>,No
,Write,sRGB,<CR>*appmod=srgb#<CR>,No
,Write,Bright,<CR>*appmod=bright#<CR>,No
,Write,Living Room,<CR>*appmod=livingroom#<CR>,No
,Write,Game,<CR>*appmod=game#<CR>,No
,Write,Cinema,<CR>*appmod=cine#<CR>,Yes
,Write,Standard,<CR>*appmod=std#<CR>,Yes
,Write,User1,<CR>*appmod=user1#<CR>,Yes
,Write,User2,<CR>*appmod=user2#<CR>,Yes
,Write,User3,<CR>*appmod=user3#<CR>,Yes
,Read,Picture Mode,<CR>*appmod=?#<CR>,Yes
Picture setting,Write,Contrast +,<CR>*con=+#<CR>,Yes
,Write,Contrast -,<CR>*con=-#<CR>,Yes
,Read,Contrast value,<CR>*con=?#<CR>,Yes
,Write,Brightness +,<CR>*bri=+#<CR>,Yes
,Write,Brightness -,<CR>*bri=-#<CR>,Yes
,Read,Brightness value,<CR>*bri=?#<CR>,Yes
,Write,Color +,<CR>*color=+#<CR>,Yes
